id,names,tags,continent
4,Afghanistan,Afghan,Asia
8,Albania,Albanian,Europe
12,Algeria,Algerian,Africa
20,Andorra,Andorran,Europe
24,Angola,Angolan,Africa
28,Antigua and Barbuda,Antiguan,North America
31,Azerbaijan,Azerbaijani,Asia
32,Argentina,Argentinian,South America
36,Australia,Australian,Oceania
40,Austria,Austrian,Europe
44,Bahamas,Bahamian,North America
48,Bahrain,Bahraini,Asia
50,Bangladesh,Bangladeshi,Asia
51,Armenia,Armenian,Asia
52,Barbados,Barbadian,North America
56,Belgium,Belgian,Europe
64,Bhutan,Bhutanese,Asia
68,Bolivia,Bolivian,South America
70,Bosnia-Herzegovina,Bosnian,Europe
72,Botswana,Botswanan,Africa
76,Brazil|Brasil,Brazilian,South America
84,Belize,Belizean,North America
90,Solomon Islands,,Oceania
100,Bulgaria,Bulgarian,Europe
108,Burundi,Burundian,Africa
112,Belarus,Belarusian,Europe
116,Cambodia,Cambodian,Asia
120,Cameroon,Cameroonian,Africa
124,Canada,Canadian,North America
132,Cape Verde,Cape Verdean,Africa
144,Sri Lanka,Sri Lankan,Asia
148,Chad,Chadian,Africa
152,Chile,Chilean,South America
156,China,Chinese,Asia
158,Taiwan,Taiwanese,Asia
170,Colombia,Colombian,South America
174,Comoros,Comoran,Africa
178,Congo-Brazzaville,Congolese,Africa
180,DR Congo,Congolese,Africa
184,Cook Islands,Cook Islander,Oceania
188,Costa Rica,Costa Rican,North America
192,Cuba,Cuban,North America
196,Cyprus,Cypriot,Asia
203,Czech Republic,Czech,Europe
204,Benin,Beninese,Africa
208,Denmark,Danish,Europe
212,Dominica,Dominican,North America
214,Dominican Republic,Dominican,North America
218,Ecuador,Ecuadorean,South America
222,El Salvador,Salvadorean,North America
231,Ethiopia,Ethiopian,Africa
232,Eritrea,Eritrean,Africa
233,Estonia,Estonian,Europe
410,South Korea,Korean,Asia
242,Fiji,Fijian,Oceania
246,Finland,Finnish,Europe
250,France,French,Europe
262,Djibouti,Djiboutian,Africa
266,Gabon,Gabonese,Africa
268,Georgia,Georgian,Asia
270,Gambia,Gambian,Africa
276,Germany,German,Europe
288,Ghana,Ghanaian,Africa
300,Greece,Greek,Europe
308,Grenada,Grenadian,North America
320,Guatemala,Guatemalan,North America
324,Guinea,Guinean,Africa
328,Guyana,Guyanese,South America
332,Haiti,Haitian,North America
340,Honduras,Honduran,North America
348,Hungary,Hungarian,Europe
352,Iceland,Icelandic,Europe
356,India,Indian,Asia
360,Indonesia,Indonesian,Asia
364,Iran,Iranian,Asia
368,Iraq,Iraqi,Asia
372,Ireland,Irish,Europe
380,Italy,Italian,Europe
191,Croatia,Croatian,Europe
388,Jamaica,Jamaican,North America
392,Japan,Japanese,Asia
398,Kazakhstan,Kazakh,Asia
400,Jordan,Jordanian,Asia
404,Kenya,Kenyan,Africa
414,Kuwait,Kuwaiti,Asia
418,Laos,Laotian,Asia
422,Lebanon,Lebanese,Asia
428,Latvia,Latvian,Europe
430,Liberia,Liberian,Africa
434,Libya,Libyan,Africa
438,Liechtenstein,,Europe
440,Lithuania,Lithuanian,Europe
442,Luxembourg,,Europe
807,Macedonia,Macedonian,Europe
450,Madagascar,Madagascan,Africa
454,Malawi,Malawian,Africa
458,Malaysia,Malaysian,Asia
462,Maldives,Maldivian,Asia
466,Mali,Malian,Africa
470,Malta,Maltese,Europe
478,Mauritania,Mauritanian,Africa
480,Mauritius,Mauritian,Africa
484,Mexico,Mexican,North America
492,Monaco,Monacan,Europe
496,Mongolia,Mongolian,Asia
499,Montenegro,Montenegrin,Europe
504,Morocco,Moroccan,Africa
508,Mozambique,Mozambican,Africa
512,Oman,Omani,Asia
516,Namibia,Namibian,Africa
520,Nauru,Nauruan,Oceania
524,Nepal,Nepalese,Asia
528,Netherlands,Dutch,Europe
548,Vanuatu,Vanuatuan,Oceania
554,New Zealand,New Zealand,Oceania
558,Nicaragua,Nicaraguan,North America
562,Niger,Nigerien,Africa
566,Nigeria,Nigerian,Africa
408,North Korea,North Korean,Asia
570,Niue,Niuean,Oceania
578,Norway|Norge,Norwegian,Europe
840,United States|US|USA,American,North America
498,Moldova,Moldovan,Europe
583,Federated States of Micronesia,Micronesian,Oceania
